name,Serving Size,Calories,Fat,Protein,Carbohydrates
"Peaches, uncooked, sulfured, dried",100 g,239,0.76 g,3.61 g,61.33 g
"Potatoes, raw, flesh and skin, red",100 g,70,0.14 g,1.89 g,15.90 g
"Candies, WHATCHAMACALLIT Candy Bar",100 g,494,23.68 g,8.04 g,63.23 g
"KEEBLER, Multigrain Crackers, CLUB",100 g,466,20.40 g,7.10 g,65.90 g
"SUNSHINE, Colby Crackers, CHEEZ-IT",100 g,512,26.85 g,9.55 g,59.25 g
"Sorghum flour, unenriched, refined",100 g,357,1.24 g,9.53 g,76.85 g
"Candies, MR. GOODBAR Chocolate Bar",100 g,538,33.21 g,10.22 g,54.34 g
"Turkey breast, prepackaged, sliced",100 g,100,2.37 g,16.33 g,2.34 g
"Acerola, raw, (west indian cherry)",100 g,32,0.30 g,0.40 g,7.69 g
"CRACKER BARREL, macaroni n' cheese",100 g,194,11.75 g,6.49 g,15.61 g
"Burrito, microwaved, beef and bean",100 g,298,11.94 g,8.73 g,38.95 g
"Pie, prepared from recipe, pumpkin",100 g,204,9.30 g,4.50 g,26.40 g
"OSCAR MAYER, Wieners (beef franks)",100 g,329,30.26 g,11.35 g,2.78 g
"English muffins, whole grain white",100 g,245,1.75 g,7.02 g,50.17 g
"Stew/soup, caribou (Alaska Native)",100 g,41,0.70 g,3.80 g,4.80 g
"Pie, commercially prepared, cherry",100 g,260,11.00 g,2.00 g,39.80 g
"Beverages, tonic water, carbonated",100 g,34,0.00 g,0.00 g,8.80 g
"Emu, broiled, cooked, inside drums",100 g,156,2.01 g,32.38 g,0.00 g
"Mustard greens, unprepared, frozen",100 g,20,0.27 g,2.49 g,3.41 g
"Cheese sauce, prepared from recipe",100 g,197,14.92 g,10.33 g,5.48 g
"Peaches, sweetened, sliced, frozen",100 g,94,0.13 g,0.63 g,23.98 g
"Game meat, roasted, cooked, beaver",100 g,212,6.96 g,34.85 g,0.00 g
"Cake, prepared, dry mix, angelfood",100 g,257,0.30 g,6.10 g,58.70 g
"Bread stuffing, dry mix, cornbread",100 g,389,4.20 g,10.00 g,76.70 g
"Fish, raw, mixed species, sturgeon",100 g,105,4.04 g,16.14 g,0.00 g
"Huckleberries, raw (Alaska Native)",100 g,37,0.10 g,0.40 g,8.70 g
"Chicken, raw, all classes, gizzard",100 g,94,2.06 g,17.66 g,0.00 g
"Cream, cultured, reduced fat, sour",100 g,135,12.00 g,2.94 g,4.26 g
"SILK Plus for Bone Health, soymilk",100 g,41,1.44 g,2.47 g,4.53 g
Reddi Wip Fat Free Whipped Topping,100 g,149,5.00 g,3.00 g,25.00 g
"Cream substitute, liquid, flavored",100 g,251,13.50 g,0.69 g,35.07 g
"Boysenberries, heavy syrup, canned",100 g,88,0.12 g,0.99 g,22.31 g
"Boysenberries, unsweetened, frozen",100 g,50,0.26 g,1.10 g,12.19 g
"Butter, without salt, stick, light",100 g,499,55.10 g,3.30 g,0.00 g
"Cake, prepared from recipe, sponge",100 g,297,4.30 g,7.30 g,57.70 g
"Hush puppies, prepared from recipe",100 g,337,13.50 g,7.70 g,46.00 g
"Beans, canned, mature seeds, white",100 g,114,0.29 g,7.26 g,21.20 g
"Peanut butter, reduced fat, smooth",100 g,520,34.00 g,25.90 g,35.65 g
"Cookies, lower fat, vanilla wafers",100 g,441,15.20 g,5.00 g,73.60 g
"Candies, HERSHEY'S SKOR Toffee Bar",100 g,541,30.37 g,3.13 g,63.73 g
"Duck, raw, meat only, domesticated",100 g,135,5.95 g,18.28 g,0.94 g
"Duck, raw, meat only, breast, wild",100 g,123,4.25 g,19.85 g,0.00 g
"Babyfood, chicken and rice, dinner",100 g,51,0.90 g,1.60 g,9.20 g
"Puddings, regular, dry mix, banana",100 g,366,0.40 g,0.00 g,93.00 g
"Artichokes, raw, (globe or french)",100 g,47,0.15 g,3.27 g,10.51 g
"Milk, calcium reduced, nonfat, dry",100 g,354,0.20 g,35.50 g,51.80 g
"Milk, sweetened, condensed, canned",100 g,321,8.70 g,7.91 g,54.40 g
"Squash, raw, all varieties, summer",100 g,16,0.18 g,1.21 g,3.35 g
"Squash, raw, all varieties, winter",100 g,34,0.13 g,0.95 g,8.59 g
"Pate, canned, not specified, liver",100 g,319,28.00 g,14.20 g,1.50 g
"Crackers, reduced fat, whole-wheat",100 g,416,7.59 g,11.34 g,75.52 g
"Salmonberries, raw (Alaska Native)",100 g,47,0.33 g,0.85 g,10.05 g
"Babyfood, orange and banana, juice",100 g,50,0.10 g,0.70 g,11.90 g
"Candies, AFTER EIGHT Mints, NESTLE",100 g,432,11.90 g,1.67 g,79.53 g
"Beverages, PERRIER, bottled, water",100 g,0,0.00 g,0.00 g,0.00 g
"MOTHER'S, Vanilla Sandwich Cookies",100 g,469,20.10 g,4.80 g,68.90 g
"Pancakes, dry mix, special dietary",100 g,349,1.40 g,8.90 g,73.90 g
"Gourd, raw, dishcloth (towelgourd)",100 g,20,0.20 g,1.20 g,4.35 g
"Babyfood, strained, peaches, fruit",100 g,65,0.33 g,0.94 g,14.48 g
"Desserts, dry mix, vanilla, rennin",100 g,383,0.00 g,0.00 g,99.00 g
"Cereals ready-to-eat, KASHI GOLEAN",100 g,311,2.20 g,24.89 g,67.19 g
"Tangerine juice, sweetened, canned",100 g,50,0.20 g,0.50 g,12.00 g
"Wheat flour, enriched, cake, white",100 g,362,0.86 g,8.20 g,78.03 g
"Oil, whale (Alaska Native), beluga",100 g,900,100.00 g,0.00 g,0.00 g
"Puff pastry, ready-to-bake, frozen",100 g,551,38.10 g,7.30 g,45.10 g
"Kefir, LIFEWAY, strawberry, lowfat",100 g,62,0.90 g,3.39 g,10.20 g
"Macaroni and cheese, frozen entree",100 g,149,6.41 g,5.60 g,17.28 g
"Turkey from whole, raw, light meat",100 g,114,1.48 g,23.66 g,0.14 g
"Lemonade, pink, frozen concentrate",100 g,192,0.69 g,0.22 g,48.86 g
"Mollusks, raw, mixed species, clam",100 g,86,0.96 g,14.67 g,3.57 g
"Macaroni, dry, enriched, vegetable",100 g,367,1.04 g,13.14 g,74.88 g
"Seal, meat (Alaska Native), ringed",100 g,142,3.20 g,28.40 g,0.00 g
"Sea cucumber, yane (Alaska Native)",100 g,56,0.40 g,13.00 g,0.00 g
"KEEBLER, Original, Saltines, ZESTA",100 g,418,9.00 g,8.20 g,76.10 g
"Cranberry sauce, sweetened, canned",100 g,159,0.15 g,0.90 g,40.40 g
"Focaccia, plain, Italian flatbread",100 g,249,7.89 g,8.77 g,35.82 g
"CAMPBELL'S, condensed, Tomato Soup",100 g,71,0.44 g,1.46 g,15.22 g
"Vitasoy USA, Nasoya Lite Firm Tofu",100 g,54,1.70 g,8.30 g,1.30 g
"Nuts, roasted, japanese, chestnuts",100 g,201,0.80 g,2.97 g,45.13 g
"Cheese, swiss, pasteurized process",100 g,334,25.01 g,24.73 g,2.10 g
"Macaroni and Cheese, canned entree",100 g,82,2.46 g,3.38 g,11.52 g
"Asparagus, drained, boiled, cooked",100 g,22,0.22 g,2.40 g,4.11 g
"Peanut butter with omega-3, creamy",100 g,608,54.17 g,24.47 g,17.00 g
"Onions, solids and liquids, canned",100 g,19,0.09 g,0.85 g,4.02 g
"Cheese, part skim milk, mozzarella",100 g,254,15.92 g,24.26 g,2.77 g
"MOTHER'S, Coconut Cocadas Cookies",100 g,500,25.10 g,5.70 g,65.10 g
"Cream substitute, light, powdered",100 g,431,15.70 g,1.90 g,73.40 g
"Frybread, made with lard (Apache)",100 g,309,10.14 g,8.38 g,46.01 g
"Snacks, plain, hard, granola bars",100 g,471,19.80 g,10.10 g,64.40 g
"Taro shoots, without salt, cooked",100 g,14,0.08 g,0.73 g,3.20 g
"Fish, raw, farmed, rainbow, trout",100 g,141,6.18 g,19.94 g,0.00 g
"Mollusks, canned, eastern, oyster",100 g,68,2.47 g,7.06 g,3.91 g
"KEEBLER, Onion Crackers, TOASTEDS",100 g,479,20.60 g,5.70 g,67.70 g
"Walrus, raw (Alaska Native), meat",100 g,199,13.60 g,19.20 g,0.00 g
"Cake, dry mix, unenriched, yellow",100 g,432,11.60 g,4.40 g,78.10 g
"Parmesan cheese topping, fat free",100 g,370,5.00 g,40.00 g,40.00 g
"Fish, dry heat, cooked, sablefish",100 g,250,19.62 g,17.19 g,0.00 g
"Grapefruit, all areas, white, raw",100 g,33,0.10 g,0.69 g,8.41 g
"Peas, raw, sprouted, mature seeds",100 g,124,0.68 g,8.80 g,27.11 g
"Babyfood, apple and cherry, juice",100 g,41,0.20 g,0.10 g,9.90 g
"Nuts, roasted, chinese, chestnuts",100 g,239,1.19 g,4.48 g,52.36 g
"Candies, BUTTERFINGER Bar, NESTLE",100 g,459,18.90 g,5.40 g,72.90 g
"MORI-NU, extra firm, silken, Tofu",100 g,55,1.90 g,7.40 g,2.00 g
"Fish, raw, wild, channel, catfish",100 g,95,2.82 g,16.38 g,0.00 g
"Candies, vanilla with nuts, fudge",100 g,435,13.69 g,3.00 g,74.61 g
"Fish, raw, mixed species, grouper",100 g,92,1.02 g,19.38 g,0.00 g
"Asparagus, drained solids, canned",100 g,19,0.65 g,2.14 g,2.46 g
"Turkey, raw, all classes, gizzard",100 g,111,3.37 g,18.80 g,0.00 g
"DENNY'S, mozzarella cheese sticks",100 g,324,17.87 g,13.56 g,27.22 g
"Rice, cooked, medium-grain, brown",100 g,112,0.83 g,2.32 g,23.51 g
"Chicken, raw, meat only, roasting",100 g,111,2.70 g,20.33 g,0.00 g
"Pie fillings, low calorie, cherry",100 g,53,0.16 g,0.82 g,11.98 g
"Frybread, made with lard (Navajo)",100 g,330,12.22 g,6.69 g,48.26 g
"Stew, hominy with mutton (Navajo)",100 g,83,2.06 g,6.71 g,9.38 g
"PEPPERIDGE FARM, Deli Swirl Bread",100 g,247,3.10 g,0.01 g,44.70 g
"Crackers, low sodium, toast thins",100 g,442,16.13 g,6.45 g,67.66 g
"SMART SOUP, Santa Fe Corn Chowder",100 g,55,0.71 g,2.00 g,11.20 g
"Beverages, ginger ale, carbonated",100 g,34,0.00 g,0.00 g,8.76 g
"Danish pastry, enriched, cinnamon",100 g,403,22.40 g,7.00 g,44.60 g
"Fish, raw, wild, Atlantic, salmon",100 g,142,6.34 g,19.84 g,0.00 g
"Bear, meat (Alaska Native), black",100 g,155,8.30 g,20.10 g,0.00 g
"Babyfood, toddler, dices, peaches",100 g,51,0.20 g,0.50 g,11.80 g
"Potato puffs, oven-heated, frozen",100 g,192,9.05 g,2.13 g,27.29 g
"NABISCO, NABISCO GRAHAMS Crackers",100 g,424,10.00 g,6.99 g,76.20 g
"CARRABBA'S ITALIAN GRILL, lasagne",100 g,191,11.06 g,10.48 g,12.36 g
"Pie, commercially prepared, pecan",100 g,407,16.69 g,4.50 g,59.61 g
"Puddings, ready-to-eat, chocolate",100 g,142,4.60 g,2.09 g,23.01 g
"Beef, chopped beef, smoked, cured",100 g,133,4.42 g,20.19 g,1.86 g
"Caribou, raw (Alaska Native), eye",100 g,326,31.40 g,10.80 g,0.00 g
"Pie, prepared from recipe, cherry",100 g,270,12.20 g,2.80 g,38.50 g
"Beverages, RED BULL, Energy drink",100 g,43,0.00 g,0.46 g,10.23 g
"Yogurt, nonfat, strawberry, Greek",100 g,82,0.15 g,8.05 g,12.07 g
"Yogurt, lowfat, strawberry, Greek",100 g,103,2.57 g,8.17 g,11.89 g
"USDA Commodity, Flour Mix, Bakery",100 g,400,12.90 g,8.47 g,62.53 g
"KEEBLER, Frosted Cookies, ANIMALS",100 g,506,24.10 g,3.00 g,70.00 g
"Cheese, cheddar or colby, low fat",100 g,173,7.00 g,24.35 g,1.91 g
"Crustaceans, raw, dungeness, crab",100 g,86,0.97 g,17.41 g,0.74 g
"Fish, raw, yellowfin, fresh, tuna",100 g,109,0.49 g,24.40 g,0.00 g
"Bread, somiviki (Hopi), blue corn",100 g,186,1.53 g,3.10 g,39.84 g
"Beans, canned, mature seeds, navy",100 g,113,0.43 g,7.53 g,20.45 g
"Fish, raw, mixed species, snapper",100 g,100,1.34 g,20.51 g,0.00 g
"Cookies, lemon wafer, gluten-free",100 g,515,24.18 g,0.00 g,74.39 g
"Potatoes, with salt, flesh, baked",100 g,93,0.10 g,1.96 g,21.55 g
"Game meat, roasted, cooked, horse",100 g,175,6.05 g,28.14 g,0.00 g
"Alcoholic beverage, cooking, wine",100 g,50,0.00 g,0.50 g,6.30 g
"Seeds, dried, whole, sesame seeds",100 g,573,49.67 g,17.73 g,23.45 g
"Cheese, nonfat or fat free, Swiss",100 g,127,0.00 g,28.40 g,3.40 g
"Seeds, dried, breadnut tree seeds",100 g,367,1.68 g,8.62 g,79.39 g
"Turnip greens, unprepared, frozen",100 g,22,0.31 g,2.47 g,3.67 g
"Snacks, barbecue-flavor, cornnuts",100 g,436,14.30 g,9.00 g,71.70 g
"Beverages, unsweetened, rice milk",100 g,47,0.97 g,0.28 g,9.17 g
"Mollusks, baked or broiled, conch",100 g,130,1.20 g,26.30 g,1.70 g
"Taro, with salt, cooked, tahitian",100 g,44,0.68 g,4.16 g,6.85 g
"Frostings, dry mix, fluffy, white",100 g,371,0.00 g,2.30 g,94.90 g
"Apples, uncooked, sulfured, dried",100 g,243,0.32 g,0.93 g,65.89 g
"Mouse nuts, roots (Alaska Native)",100 g,81,0.10 g,3.90 g,16.10 g
"Salad dressing, light, mayonnaise",100 g,238,22.22 g,0.37 g,9.23 g
"Corn flour, white, enriched, masa",100 g,363,3.69 g,8.46 g,76.59 g
"Buckwheat groats, cooked, roasted",100 g,92,0.62 g,3.38 g,19.94 g
"Sweet potato, vacuum pack, canned",100 g,91,0.20 g,1.65 g,21.12 g
"Orange juice, unsweetened, canned",100 g,47,0.15 g,0.68 g,11.01 g
"Game meat, roasted, cooked, moose",100 g,134,0.97 g,29.27 g,0.00 g
"Babyfood, strained, chicken, meat",100 g,130,7.90 g,13.70 g,0.10 g
"Peppers, freeze-dried, red, sweet",100 g,314,3.00 g,17.90 g,68.70 g
"Strawberries, unsweetened, frozen",100 g,35,0.11 g,0.43 g,9.13 g
"Turkey, raw, meat and skin, whole",100 g,143,5.64 g,21.64 g,0.13 g
"Yardlong beans, raw, mature seeds",100 g,347,1.31 g,24.33 g,61.91 g
"Tofu, salted and fermented (fuyu)",100 g,116,8.00 g,8.92 g,4.38 g
"Mush, blue corn with ash (Navajo)",100 g,54,0.49 g,0.66 g,11.74 g
"Pate, canned, smoked, goose liver",100 g,462,43.84 g,11.40 g,4.67 g
"Beverages, powder, rich chocolate",100 g,372,0.00 g,0.00 g,92.96 g
"Gelatins, unsweetened, dry powder",100 g,335,0.10 g,85.60 g,0.00 g
"Oil, salad or cooking, cottonseed",100 g,884,100.00 g,0.00 g,0.00 g
"Winged beans, raw, immature seeds",100 g,49,0.87 g,6.95 g,4.31 g
"Toppings, butterscotch or caramel",100 g,216,0.00 g,1.21 g,57.01 g
"Fish, kippered, Atlantic, herring",100 g,217,12.37 g,24.58 g,0.00 g
"Oil, spotted seal (Alaska Native)",100 g,894,99.32 g,0.00 g,0.00 g
"Cranberry juice cocktail, bottled",100 g,54,0.10 g,0.00 g,13.52 g
"Babyfood, orange and apple, juice",100 g,43,0.20 g,0.40 g,10.10 g
"Babyfood, prune and orange, juice",100 g,70,0.30 g,0.60 g,16.80 g
"Lasagna, prepared, frozen, cheese",100 g,130,5.33 g,6.54 g,13.84 g
"KASHI, Sea Salt, Pita Crisps, TLC",100 g,381,9.20 g,10.50 g,72.40 g
"Snacks, reduced fat, potato chips",100 g,471,20.80 g,7.10 g,66.90 g
"MURRAY, Vanilla Wafer, SUGAR FREE",100 g,412,16.80 g,5.90 g,74.00 g
"SPAGHETTIOS, SpaghettiOs Original",100 g,67,0.40 g,2.38 g,13.89 g
"Soup, ready to serve, beef barley",100 g,52,0.96 g,2.81 g,7.94 g
"Salad dressing, creamy, poppyseed",100 g,399,33.33 g,0.92 g,23.73 g
"Dressing, fat-free, honey mustard",100 g,169,1.47 g,1.07 g,38.43 g
"Mollusks, raw, unspecified, whelk",100 g,137,0.40 g,23.84 g,7.76 g
"Pie crust, dry mix, standard-type",100 g,518,31.40 g,6.90 g,52.10 g
"Beverages, grape soda, carbonated",100 g,43,0.00 g,0.00 g,11.20 g
"Mushrooms, drained solids, canned",100 g,25,0.29 g,1.87 g,5.09 g
"Game meat, simmered, cooked, bear",100 g,259,13.39 g,32.42 g,0.00 g
"KASHI, Honey Sesame Crackers, TLC",100 g,398,10.40 g,8.70 g,72.20 g
"Fish, raw, mixed species, whiting",100 g,90,1.31 g,18.31 g,0.00 g
"Leavening agents, cream of tartar",100 g,258,0.00 g,0.00 g,61.50 g
"Beans, with franks, canned, baked",100 g,142,6.57 g,6.75 g,15.39 g
"Fish, dry heat, cooked, swordfish",100 g,172,7.93 g,23.45 g,0.00 g
"Radishes, pickled, hawaiian style",100 g,28,0.30 g,1.10 g,5.20 g
"Gravy, fat free, beef, CAMPBELL'S",100 g,25,0.00 g,1.69 g,5.08 g
"Blackberries, unsweetened, frozen",100 g,64,0.43 g,1.18 g,15.67 g
"Onions, unprepared, whole, frozen",100 g,35,0.06 g,0.89 g,8.45 g
"Puddings, regular, dry mix, lemon",100 g,363,0.50 g,0.10 g,91.80 g
"Lasagna, baked, frozen, Vegetable",100 g,139,6.04 g,6.87 g,14.18 g
"Puddings, instant, dry mix, lemon",100 g,378,0.70 g,0.00 g,95.40 g
"Beverages, ROCKSTAR, Energy drink",100 g,58,0.22 g,0.34 g,12.70 g
SILK Banana-Strawberry soy yogurt,100 g,88,1.18 g,2.35 g,17.06 g
"MOTHER'S, Chocolate Chip Cookies",100 g,490,22.00 g,5.70 g,67.60 g
"Whipped topping, low fat, frozen",100 g,224,13.10 g,3.00 g,23.60 g
"Vitasoy USA Azumaya, Silken Tofu",100 g,43,2.40 g,4.82 g,0.58 g
"Ice cream, chocolate, soft serve",100 g,222,13.00 g,4.10 g,22.20 g
"Moose, raw (Alaska Native), meat",100 g,103,1.50 g,22.30 g,0.00 g
"Bread crumbs, plain, grated, dry",100 g,395,5.30 g,13.35 g,71.98 g
Oven-roasted chicken breast roll,100 g,134,7.65 g,14.59 g,1.79 g
"Salad dressing, russian dressing",100 g,355,26.18 g,0.69 g,31.90 g
"Oil, original, PAM cooking spray",100 g,792,78.69 g,0.26 g,20.69 g
"Fish, dry heat, cooked, mahimahi",100 g,109,0.90 g,23.72 g,0.00 g
"Emu, broiled, cooked, fan fillet",100 g,154,2.30 g,31.27 g,0.00 g
"Beans, raw, mature seeds, yellow",100 g,345,2.60 g,22.00 g,60.70 g
"KEEBLER, Toasted Coconut Cookies",100 g,475,20.20 g,3.80 g,69.90 g
"Fish, dry heat, cooked, milkfish",100 g,190,8.63 g,26.32 g,0.00 g
"Fish, dry heat, cooked, monkfish",100 g,97,1.95 g,18.56 g,0.00 g
"Babyfood, apple and grape, juice",100 g,46,0.20 g,0.10 g,11.34 g
"Pheasant, raw, meat only, breast",100 g,133,3.25 g,24.37 g,0.00 g
"Burrito, frozen, bean and cheese",100 g,221,6.30 g,7.07 g,34.01 g
"Potatoes, home-prepared, o'brien",100 g,81,1.28 g,2.35 g,15.47 g
"MORI-NU, lite firm, silken, Tofu",100 g,37,0.80 g,6.30 g,1.10 g
"Tofu, prepared with nigari, hard",100 g,145,9.99 g,12.68 g,4.39 g
"Meatballs, Italian style, frozen",100 g,286,22.21 g,14.40 g,8.06 g
"Kielbasa, unheated, fully cooked",100 g,325,29.63 g,10.84 g,3.72 g
"Alcoholic beverage, whiskey sour",100 g,149,0.03 g,0.00 g,13.17 g
"WEND'YS, Crispy Chicken Sandwich",100 g,278,13.93 g,11.72 g,26.36 g
"SUNSHINE, BIG Crackers, CHEEZ-IT",100 g,507,26.30 g,11.40 g,57.40 g
"Babyfood, junior, cherry cobbler",100 g,78,0.10 g,0.30 g,19.20 g
"Danish pastry, unenriched, lemon",100 g,371,18.50 g,5.40 g,47.80 g
"APPLEBEE'S, Double Crunch Shrimp",100 g,323,18.90 g,12.31 g,25.96 g
"Mutton, roasted (Navajo), cooked",100 g,234,11.09 g,33.43 g,0.08 g
"Fish, raw, Atlantic, ocean perch",100 g,79,1.54 g,15.31 g,0.00 g
"Cereals, Dry, Quick Oats, QUAKER",100 g,371,6.87 g,13.70 g,68.18 g
"Cookies, reduced fat, shortbread",100 g,451,14.00 g,5.37 g,75.99 g
"Potatoes, drained solids, canned",100 g,60,0.21 g,1.41 g,13.61 g
"T.G.I. FRIDAY'S, chicken fingers",100 g,325,20.31 g,18.68 g,16.84 g
"Babyfood, apple and peach, juice",100 g,43,0.10 g,0.20 g,10.50 g
"Seeds, roasted, breadfruit seeds",100 g,207,2.70 g,6.20 g,40.10 g
"Potato puffs, unprepared, frozen",100 g,178,8.71 g,1.93 g,24.80 g
"Pie, prepared from recipe, pecan",100 g,412,22.20 g,4.90 g,52.20 g
"Pie, prepared from recipe, mince",100 g,289,10.80 g,2.60 g,48.00 g
"Nuts, dried, japanese, chestnuts",100 g,360,1.24 g,5.25 g,81.43 g
"KELLOGG'S, Original, SIMPLY EGGO",100 g,294,10.90 g,6.20 g,43.30 g
"Pie, prepared from recipe, apple",100 g,265,12.50 g,2.40 g,37.10 g
"Beverages, root beer, carbonated",100 g,41,0.00 g,0.00 g,10.60 g
"Emu, pan-broiled, cooked, ground",100 g,163,4.65 g,28.43 g,0.00 g
"Cheese, queso chihuahua, mexican",100 g,374,29.68 g,21.56 g,5.56 g
"KEEBLER, Original Crackers, CLUB",100 g,486,22.10 g,5.50 g,66.20 g
"Pears, uncooked, sulfured, dried",100 g,262,0.63 g,1.87 g,69.70 g
"Soup, home-prepared, beef, stock",100 g,13,0.09 g,1.97 g,1.20 g
"Soup, home-prepared, fish, stock",100 g,16,0.81 g,2.26 g,0.00 g
"Fish, raw, skipjack, fresh, tuna",100 g,103,1.01 g,22.00 g,0.00 g
"Noodles, cooked, somen, japanese",100 g,131,0.18 g,4.00 g,27.54 g
Cheesecake commercially prepared,100 g,321,22.50 g,5.50 g,25.50 g
"Crackers, GAMESA SABROSAS, cream",100 g,484,20.37 g,7.01 g,64.55 g
"Fish, raw, pumpkin seed, sunfish",100 g,89,0.70 g,19.40 g,0.00 g
"Sauce, original, KRAFT, barbecue",100 g,172,0.62 g,0.74 g,40.77 g
"Snacks, rice-based, oriental mix",100 g,506,25.58 g,17.31 g,51.62 g
"Chicken, raw, all classes, liver",100 g,119,4.83 g,16.92 g,0.73 g
"Chicken, raw, all classes, heart",100 g,153,9.33 g,15.55 g,0.71 g
"Vegetable juice cocktail, canned",100 g,22,0.31 g,0.93 g,3.87 g
"Coriander (cilantro) leaves, raw",100 g,23,0.52 g,2.13 g,3.67 g
"Snacks, almond, crisped rice bar",100 g,458,20.40 g,7.00 g,64.60 g
"Blueberries, unsweetened, frozen",100 g,51,0.64 g,0.42 g,12.17 g
"Bread, oat bran, reduced-calorie",100 g,201,3.20 g,8.00 g,41.30 g
"Bread, toasted, enriched, raisin",100 g,297,4.80 g,8.60 g,56.90 g
"Bread, protein (includes gluten)",100 g,245,2.20 g,12.10 g,43.80 g
"Beverages, municipal, tap, water",100 g,0,0.00 g,0.00 g,0.00 g
"Game meat, roasted, cooked, goat",100 g,143,3.03 g,27.10 g,0.00 g
"Muffins, prepared, dry mix, corn",100 g,321,10.20 g,7.40 g,49.10 g
"Chicken, raw, meat only, stewing",100 g,148,6.32 g,21.26 g,0.00 g
"Fish, dry heat, cooked, bluefish",100 g,159,5.44 g,25.69 g,0.00 g
"Bagels, toasted, cinnamon-raisin",100 g,294,1.80 g,10.60 g,59.30 g
"Sweet potato, unprepared, frozen",100 g,96,0.18 g,1.71 g,22.22 g
"Mashu roots, raw (Alaska Native)",100 g,135,2.40 g,5.80 g,22.60 g
"CAMPBELL'S, Organic Tomato juice",100 g,21,0.00 g,0.82 g,4.12 g
"Sausage, smoked, turkey, Italian",100 g,158,8.75 g,15.05 g,4.65 g
"Beverages, Citrus,  Energy drink",100 g,45,0.00 g,0.00 g,11.27 g
"KEEBLER, Holiday Jingles Cookies",100 g,470,17.40 g,5.00 g,73.90 g
"Succotash, raw, (corn and limas)",100 g,99,1.02 g,5.03 g,19.59 g
"Babyfood, strained, turkey, meat",100 g,111,6.20 g,11.50 g,1.40 g
"Cookies, dry mix, chocolate chip",100 g,497,25.20 g,4.60 g,66.10 g
"Frozen novelties, lime, ice type",100 g,128,0.00 g,0.40 g,32.60 g
"Salad dressing, lite, buttermilk",100 g,202,12.42 g,1.25 g,21.33 g
"Fish, pickled, Atlantic, herring",100 g,262,18.00 g,14.19 g,9.64 g
"Babyfood, apple and prune, juice",100 g,72,0.10 g,0.20 g,18.10 g
"Pasta, cooked, corn, gluten-free",100 g,126,0.73 g,2.63 g,27.91 g
"Cheese spread, cream cheese base",100 g,295,28.60 g,7.10 g,3.50 g
"Cheese, with vegetables, cottage",100 g,95,4.20 g,10.90 g,3.00 g
"MOTHER'S, Taffy Sandwich Cookies",100 g,475,20.20 g,3.80 g,69.90 g
"PACE, Lime & Garlic Chunky Salsa",100 g,38,0.00 g,0.00 g,9.38 g
"DENNY'S, spaghetti and meatballs",100 g,170,8.52 g,7.84 g,15.51 g
"Beverages, club soda, carbonated",100 g,0,0.00 g,0.00 g,0.00 g
"ON THE BORDER, cheese quesadilla",100 g,394,25.50 g,16.87 g,24.25 g
"Cabbage, raw, chinese (pak-choi)",100 g,13,0.20 g,1.50 g,2.18 g
"Babyfood, strained, pears, fruit",100 g,42,0.20 g,0.30 g,10.80 g
"Babyfood, junior, peaches, fruit",100 g,65,0.33 g,0.94 g,14.48 g
"Beef, canned, corned beef, cured",100 g,250,14.93 g,27.10 g,0.00 g
"Salsify, raw, (vegetable oyster)",100 g,82,0.20 g,3.30 g,18.60 g
"Salad dressing, fat-free, caesar",100 g,131,0.23 g,1.47 g,30.73 g
"Cereals, dry, unenriched, farina",100 g,369,0.50 g,10.60 g,78.00 g
"Passion-fruit juice, raw, yellow",100 g,60,0.18 g,0.67 g,14.45 g
"Raspberries, unsweetened, frozen",100 g,52,0.65 g,1.20 g,11.94 g
"Babyfood, toddler, dices, apples",100 g,51,0.10 g,0.20 g,12.10 g
"Yogurt, whole milk, plain, Greek",100 g,97,5.00 g,9.00 g,3.98 g
"KEEBLER, Cinnamon Crisp, Grahams",100 g,430,12.20 g,5.90 g,76.30 g
"Bison, cooked, grass-fed, ground",100 g,179,8.62 g,25.45 g,0.00 g
"Beans, raw, mature seeds, french",100 g,343,2.02 g,18.81 g,64.11 g
"Game meat, roasted, cooked, deer",100 g,158,3.19 g,30.21 g,0.00 g
"Beans, raw, mature seeds, adzuki",100 g,329,0.53 g,19.87 g,62.90 g
"Salad dressing, bacon and tomato",100 g,326,35.00 g,1.80 g,2.00 g
"Fish, dry heat, cooked, tilefish",100 g,147,4.69 g,24.49 g,0.00 g
"Passion-fruit juice, raw, purple",100 g,51,0.05 g,0.39 g,13.60 g
"Beverages, brewed, hibiscus, tea",100 g,0,0.00 g,0.00 g,0.00 g
"Cheese food, American, cold pack",100 g,331,24.46 g,19.66 g,8.32 g
"Cherries, sweetened, dried, tart",100 g,333,0.73 g,1.25 g,80.45 g
"MOTHER'S, Circus Animal Cookies",100 g,515,25.30 g,3.80 g,68.30 g
"Beverages, drinking, tap, water",100 g,0,0.00 g,0.00 g,0.00 g
"Fish, raw, mixed species, shark",100 g,130,4.51 g,20.98 g,0.00 g
"English muffins, toasted, wheat",100 g,243,2.10 g,9.40 g,48.70 g
"Beans, raw, mature seeds, white",100 g,333,0.85 g,23.36 g,60.27 g
"Fish, dry heat, cooked, tilapia",100 g,128,2.65 g,26.15 g,0.00 g
"Crackers, fish-shaped, flavored",100 g,463,17.71 g,10.16 g,65.67 g
