name,Serving Size,Calories,Fat,Protein,Carbohydrates
"Game meat, raw, moose",100 g,102,0.74 g,22.24 g,0.00 g
"Pears, red anjou, raw",100 g,62,0.14 g,0.33 g,14.94 g
"Horseradish, prepared",100 g,48,0.69 g,1.18 g,11.29 g
"Fish, raw, butterfish",100 g,146,8.02 g,17.28 g,0.00 g
"Lebanon bologna, beef",100 g,172,10.44 g,19.03 g,0.44 g
Ham and cheese spread,100 g,245,18.53 g,16.18 g,2.28 g
"Sauce, worcestershire",100 g,78,0.00 g,0.00 g,19.46 g
"Candies, marshmallows",100 g,318,0.20 g,1.80 g,81.30 g
"Hummus, home prepared",100 g,177,8.59 g,4.86 g,20.12 g
Horned melon (Kiwano),100 g,44,1.26 g,1.78 g,7.56 g
Ice cream sundae cone,100 g,254,14.00 g,3.00 g,28.89 g
"Peppers, raw, serrano",100 g,32,0.44 g,1.74 g,6.70 g
"Cabbage, cooked, napa",100 g,12,0.17 g,1.10 g,2.23 g
"Peppers, dried, ancho",100 g,281,8.20 g,11.86 g,51.42 g
"Parsley, freeze-dried",100 g,271,5.20 g,31.30 g,42.38 g
"Spices, black, pepper",100 g,251,3.26 g,10.39 g,63.95 g
"Spices, white, pepper",100 g,296,2.12 g,10.40 g,68.61 g
"Yambean (jicama), raw",100 g,38,0.09 g,0.72 g,8.82 g
"Nuts, dried, pilinuts",100 g,719,79.55 g,10.80 g,3.98 g
"Kiwifruit, raw, green",100 g,61,0.52 g,1.14 g,14.66 g
"Drumstick leaves, raw",100 g,64,1.40 g,9.40 g,8.28 g
"Yautia (tannier), raw",100 g,98,0.40 g,1.46 g,23.63 g
"Candies, butterscotch",100 g,391,3.30 g,0.03 g,90.40 g
"Cucumber, raw, peeled",100 g,12,0.16 g,0.59 g,2.16 g
"Dandelion greens, raw",100 g,45,0.70 g,2.70 g,9.20 g
"Melons, raw, honeydew",100 g,36,0.14 g,0.54 g,9.09 g
Potato salad with egg,100 g,157,9.40 g,1.96 g,16.18 g
"Mushrooms, raw, white",100 g,22,0.34 g,3.09 g,3.26 g
"Mushrooms, raw, morel",100 g,31,0.57 g,3.12 g,5.10 g
"Cheese, Mexican blend",100 g,358,28.51 g,23.54 g,1.75 g
"Oranges, Florida, raw",100 g,46,0.21 g,0.70 g,11.54 g
"SILK Vanilla, soymilk",100 g,41,1.44 g,2.47 g,4.12 g
"Papaya nectar, canned",100 g,57,0.15 g,0.17 g,14.51 g
"Fiddlehead ferns, raw",100 g,34,0.40 g,4.55 g,5.54 g
